sample_id,timestamp,city,latitude,longitude,wind_speed_mps,wind_direction_deg,wind_u_mps,wind_v_mps,temperature_c,relative_humidity_pct,surface_pressure_hpa,boundary_layer_height_m,direct_normal_irradiance_w_m2,cloud_cover_pct,stability_class,hour,day_of_week,month,is_weekend,sin_hour,cos_hour,sin_month,cos_month,local_dispersion_pm25,cams_regional_pm25,target_pm25,regime,confidence_level,known_bias_direction,systematic_bias_note
delhi_2022_0000_20220101T000000Z,2022-01-01 00:00:00+00:00,Delhi,28.6139,77.209,2.4,268.0,2.4,0.08,6.2,93.0,996.1,50.0,0.0,19.0,F,0,5,1,1,0.0,1.0,0.0,1.0,49.68,140.0,189.68,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
delhi_2022_0001_20220101T010000Z,2022-01-01 01:00:00+00:00,Delhi,28.6139,77.209,2.4,268.0,2.4,0.08,6.0,94.0,996.4,50.0,0.0,0.0,F,1,5,1,1,0.2588,0.9659,0.0,1.0,35.77,140.0,175.77,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
delhi_2022_0002_20220101T020000Z,2022-01-01 02:00:00+00:00,Delhi,28.6139,77.209,2.22,262.0,2.2,0.31,5.7,94.0,997.0,50.0,0.0,0.0,F,2,5,1,1,0.5,0.866,0.0,1.0,39.49,140.0,179.49,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
delhi_2022_0003_20220101T030000Z,2022-01-01 03:00:00+00:00,Delhi,28.6139,77.209,2.71,274.0,2.7,-0.19,7.6,88.0,997.7,75.0,237.4,2.0,C,3,5,1,1,0.7071,0.7071,0.0,1.0,21.67,140.0,161.67,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
delhi_2022_0004_20220101T040000Z,2022-01-01 04:00:00+00:00,Delhi,28.6139,77.209,2.02,290.0,1.9,-0.69,10.5,78.0,998.6,130.0,452.1,8.0,B,4,5,1,1,0.866,0.5,0.0,1.0,36.3,140.0,176.3,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
delhi_2022_0005_20220101T050000Z,2022-01-01 05:00:00+00:00,Delhi,28.6139,77.209,2.01,297.0,1.79,-0.91,13.2,69.0,999.1,275.0,592.9,0.0,B,5,5,1,1,0.9659,0.2588,0.0,1.0,80.94,140.0,220.94,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
delhi_2022_0006_20220101T060000Z,2022-01-01 06:00:00+00:00,Delhi,28.6139,77.209,2.2,309.0,1.71,-1.38,15.4,61.0,998.3,585.0,667.5,27.0,A,6,5,1,1,1.0,0.0,0.0,1.0,136.15,140.0,276.15,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
delhi_2022_0007_20220101T070000Z,2022-01-01 07:00:00+00:00,Delhi,28.6139,77.209,2.2,309.0,1.71,-1.38,16.8,54.0,997.3,735.0,699.7,54.0,A,7,5,1,1,0.9659,-0.2588,0.0,1.0,229.31,140.0,369.31,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
delhi_2022_0008_20220101T080000Z,2022-01-01 08:00:00+00:00,Delhi,28.6139,77.209,1.98,315.0,1.4,-1.4,17.6,49.0,995.9,820.0,698.6,12.0,A,8,5,1,1,0.866,-0.5,0.0,1.0,282.27,140.0,422.27,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
delhi_2022_0009_20220101T090000Z,2022-01-01 09:00:00+00:00,Delhi,28.6139,77.209,2.05,313.0,1.5,-1.4,18.1,46.0,995.4,885.0,659.1,5.0,A,9,5,1,1,0.7071,-0.7071,0.0,1.0,233.67,140.0,373.67,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
