sample_id,timestamp,city,latitude,longitude,wind_speed_mps,wind_direction_deg,wind_u_mps,wind_v_mps,temperature_c,relative_humidity_pct,surface_pressure_hpa,boundary_layer_height_m,direct_normal_irradiance_w_m2,cloud_cover_pct,stability_class,hour,day_of_week,month,is_weekend,sin_hour,cos_hour,sin_month,cos_month,local_dispersion_pm25,cams_regional_pm25,target_pm25,regime,confidence_level,known_bias_direction,systematic_bias_note
delhi_2020_0000_20200101T000000Z,2020-01-01 00:00:00+00:00,Delhi,28.6139,77.209,2.25,32.0,-1.19,-1.91,3.3,98.0,993.7,50.0,0.0,100.0,D,0,2,1,0,0.0,1.0,0.0,1.0,30.01,140.0,170.01,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
delhi_2020_0001_20200101T010000Z,2020-01-01 01:00:00+00:00,Delhi,28.6139,77.209,2.24,27.0,-1.02,-2.0,3.1,98.0,994.3,50.0,0.0,44.0,F,1,2,1,0,0.2588,0.9659,0.0,1.0,20.13,140.0,160.13,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
delhi_2020_0002_20200101T020000Z,2020-01-01 02:00:00+00:00,Delhi,28.6139,77.209,1.78,38.0,-1.1,-1.4,3.1,98.0,995.2,50.0,0.0,28.0,F,2,2,1,0,0.5,0.866,0.0,1.0,26.87,140.0,166.87,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
delhi_2020_0003_20200101T030000Z,2020-01-01 03:00:00+00:00,Delhi,28.6139,77.209,2.62,50.0,-2.01,-1.68,6.0,89.0,996.4,50.0,222.1,47.0,C,3,2,1,0,0.7071,0.7071,0.0,1.0,26.77,140.0,166.77,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
delhi_2020_0004_20200101T040000Z,2020-01-01 04:00:00+00:00,Delhi,28.6139,77.209,2.28,67.0,-2.1,-0.89,9.4,75.0,997.4,70.0,423.1,80.0,B,4,2,1,0,0.866,0.5,0.0,1.0,26.53,140.0,166.53,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
delhi_2020_0005_20200101T050000Z,2020-01-01 05:00:00+00:00,Delhi,28.6139,77.209,2.41,85.0,-2.4,-0.21,12.1,64.0,997.8,195.0,469.8,88.0,D,5,2,1,0,0.9659,0.2588,0.0,1.0,51.83,140.0,191.83,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
delhi_2020_0006_20200101T060000Z,2020-01-01 06:00:00+00:00,Delhi,28.6139,77.209,3.09,115.0,-2.8,1.31,14.3,55.0,997.5,345.0,571.9,88.0,D,6,2,1,0,1.0,0.0,0.0,1.0,68.11,140.0,208.11,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
delhi_2020_0007_20200101T070000Z,2020-01-01 07:00:00+00:00,Delhi,28.6139,77.209,2.68,117.0,-2.39,1.22,15.9,52.0,996.4,440.0,625.2,91.0,D,7,2,1,0,0.9659,-0.2588,0.0,1.0,131.93,140.0,271.93,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
delhi_2020_0008_20200101T080000Z,2020-01-01 08:00:00+00:00,Delhi,28.6139,77.209,2.6,113.0,-2.39,1.02,17.1,52.0,995.5,505.0,597.6,92.0,D,8,2,1,0,0.866,-0.5,0.0,1.0,158.7,140.0,298.7,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
delhi_2020_0009_20200101T090000Z,2020-01-01 09:00:00+00:00,Delhi,28.6139,77.209,2.56,111.0,-2.39,0.92,17.6,53.0,994.9,540.0,476.5,96.0,D,9,2,1,0,0.7071,-0.7071,0.0,1.0,136.53,140.0,276.53,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
