sample_id,timestamp,city,latitude,longitude,wind_speed_mps,wind_direction_deg,wind_u_mps,wind_v_mps,temperature_c,relative_humidity_pct,surface_pressure_hpa,boundary_layer_height_m,direct_normal_irradiance_w_m2,cloud_cover_pct,stability_class,hour,day_of_week,month,is_weekend,sin_hour,cos_hour,sin_month,cos_month,local_dispersion_pm25,cams_regional_pm25,target_pm25,regime,confidence_level,known_bias_direction,systematic_bias_note
delhi_2023_0000_20230101T000000Z,2023-01-01 00:00:00+00:00,Delhi,28.6139,77.209,1.91,276.0,1.9,-0.2,8.0,95.0,994.0,60.0,0.0,88.0,D,0,6,1,1,0.0,1.0,0.0,1.0,55.11,91.0,146.11,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
delhi_2023_0001_20230101T010000Z,2023-01-01 01:00:00+00:00,Delhi,28.6139,77.209,2.01,264.0,2.0,0.21,8.0,95.0,994.6,55.0,0.0,99.0,D,1,6,1,1,0.2588,0.9659,0.0,1.0,46.77,90.8,137.57,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
delhi_2023_0002_20230101T020000Z,2023-01-01 02:00:00+00:00,Delhi,28.6139,77.209,2.12,262.0,2.1,0.3,8.1,95.0,995.0,50.0,0.0,11.0,F,2,6,1,1,0.5,0.866,0.0,1.0,41.35,99.2,140.55,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
delhi_2023_0003_20230101T030000Z,2023-01-01 03:00:00+00:00,Delhi,28.6139,77.209,2.41,265.0,2.4,0.21,9.5,90.0,995.7,70.0,201.0,13.0,C,3,6,1,1,0.7071,0.7071,0.0,1.0,28.05,105.7,133.75,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
delhi_2023_0004_20230101T040000Z,2023-01-01 04:00:00+00:00,Delhi,28.6139,77.209,1.91,264.0,1.9,0.2,12.0,84.0,996.7,130.0,445.4,0.0,B,4,6,1,1,0.866,0.5,0.0,1.0,43.74,102.9,146.64,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
delhi_2023_0005_20230101T050000Z,2023-01-01 05:00:00+00:00,Delhi,28.6139,77.209,1.8,273.0,1.8,-0.09,14.4,75.0,997.4,285.0,592.7,0.0,B,5,6,1,1,0.9659,0.2588,0.0,1.0,96.49,89.9,186.39,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
delhi_2023_0006_20230101T060000Z,2023-01-01 06:00:00+00:00,Delhi,28.6139,77.209,1.75,283.0,1.71,-0.39,16.2,68.0,997.1,665.0,669.3,0.0,A,6,6,1,1,1.0,0.0,0.0,1.0,186.77,76.4,263.17,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
delhi_2023_0007_20230101T070000Z,2023-01-01 07:00:00+00:00,Delhi,28.6139,77.209,1.52,293.0,1.4,-0.59,17.3,63.0,996.1,910.0,698.3,0.0,A,7,6,1,1,0.9659,-0.2588,0.0,1.0,338.93,69.8,408.73,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
delhi_2023_0008_20230101T080000Z,2023-01-01 08:00:00+00:00,Delhi,28.6139,77.209,1.66,303.0,1.39,-0.9,18.0,60.0,995.2,1055.0,694.2,0.0,A,8,6,1,1,0.866,-0.5,0.0,1.0,365.51,66.4,431.91,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
delhi_2023_0009_20230101T090000Z,2023-01-01 09:00:00+00:00,Delhi,28.6139,77.209,1.63,317.0,1.11,-1.19,18.3,56.0,994.4,1150.0,654.4,21.0,A,9,6,1,1,0.7071,-0.7071,0.0,1.0,277.62,65.0,342.62,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
delhi_2023_0010_20230101T100000Z,2023-01-01 10:00:00+00:00,Delhi,28.6139,77.209,1.61,330.0,0.81,-1.39,18.2,55.0,994.0,1160.0,551.4,37.0,B,10,6,1,1,0.5,-0.866,0.0,1.0,137.39,64.0,201.39,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
delhi_2023_0011_20230101T110000Z,2023-01-01 11:00:00+00:00,Delhi,28.6139,77.209,1.39,330.0,0.7,-1.2,17.4,62.0,994.1,1110.0,339.7,23.0,B,11,6,1,1,0.2588,-0.9659,0.0,1.0,146.4,65.2,211.6,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
delhi_2023_0012_20230101T120000Z,2023-01-01 12:00:00+00:00,Delhi,28.6139,77.209,1.36,324.0,0.8,-1.1,16.8,63.0,994.7,50.0,147.6,86.0,B,12,6,1,1,0.0,-1.0,0.0,1.0,226.93,105.2,332.13,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
