sample_id,timestamp,city,latitude,longitude,wind_speed_mps,wind_direction_deg,wind_u_mps,wind_v_mps,temperature_c,relative_humidity_pct,surface_pressure_hpa,boundary_layer_height_m,direct_normal_irradiance_w_m2,cloud_cover_pct,stability_class,hour,day_of_week,month,is_weekend,sin_hour,cos_hour,sin_month,cos_month,local_dispersion_pm25,cams_regional_pm25,target_pm25,regime,confidence_level,known_bias_direction,systematic_bias_note
delhi_2024_0000_20240101T000000Z,2024-01-01 00:00:00+00:00,Delhi,28.6139,77.209,1.04,287.0,0.99,-0.3,6.4,100.0,992.5,180.0,0.0,100.0,D,0,0,1,0,0.0,1.0,0.0,1.0,95.04,88.9,183.94,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
delhi_2024_0001_20240101T010000Z,2024-01-01 01:00:00+00:00,Delhi,28.6139,77.209,1.1,355.0,0.1,-1.1,10.1,88.0,993.9,180.0,0.0,100.0,D,1,0,1,0,0.2588,0.9659,0.0,1.0,39.74,87.8,127.54,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
delhi_2024_0002_20240101T020000Z,2024-01-01 02:00:00+00:00,Delhi,28.6139,77.209,1.1,360.0,0.0,-1.1,10.4,87.0,994.3,180.0,0.0,100.0,D,2,0,1,0,0.5,0.866,0.0,1.0,33.43,91.5,124.93,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
delhi_2024_0003_20240101T030000Z,2024-01-01 03:00:00+00:00,Delhi,28.6139,77.209,1.6,4.0,-0.11,-1.6,11.2,85.0,994.9,180.0,43.0,100.0,D,3,0,1,0,0.7071,0.7071,0.0,1.0,18.88,93.1,111.98,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
delhi_2024_0004_20240101T040000Z,2024-01-01 04:00:00+00:00,Delhi,28.6139,77.209,1.6,360.0,0.0,-1.6,11.8,80.0,995.6,350.0,90.9,73.0,B,4,0,1,0,0.866,0.5,0.0,1.0,33.7,95.2,128.9,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
delhi_2024_0005_20240101T050000Z,2024-01-01 05:00:00+00:00,Delhi,28.6139,77.209,1.3,360.0,0.0,-1.3,12.8,72.0,995.7,350.0,153.0,78.0,B,5,0,1,0,0.9659,0.2588,0.0,1.0,94.28,91.7,185.98,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
delhi_2024_0006_20240101T060000Z,2024-01-01 06:00:00+00:00,Delhi,28.6139,77.209,0.92,347.0,0.21,-0.9,13.7,70.0,994.9,350.0,212.5,62.0,B,6,0,1,0,1.0,0.0,0.0,1.0,220.54,87.3,307.84,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
delhi_2024_0007_20240101T070000Z,2024-01-01 07:00:00+00:00,Delhi,28.6139,77.209,0.94,328.0,0.5,-0.8,14.8,67.0,993.8,350.0,444.4,39.0,B,7,0,1,0,0.9659,-0.2588,0.0,1.0,362.18,75.7,437.88,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
delhi_2024_0008_20240101T080000Z,2024-01-01 08:00:00+00:00,Delhi,28.6139,77.209,1.35,318.0,0.9,-1.0,15.6,62.0,992.7,350.0,533.5,31.0,B,8,0,1,0,0.866,-0.5,0.0,1.0,461.19,62.9,524.09,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
delhi_2024_0009_20240101T090000Z,2024-01-01 09:00:00+00:00,Delhi,28.6139,77.209,1.78,322.0,1.1,-1.4,16.1,62.0,991.9,350.0,614.7,21.0,A,9,0,1,0,0.7071,-0.7071,0.0,1.0,203.27,57.5,260.77,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
delhi_2024_0010_20240101T100000Z,2024-01-01 10:00:00+00:00,Delhi,28.6139,77.209,2.13,319.0,1.4,-1.61,16.2,62.0,991.4,350.0,565.4,11.0,B,10,0,1,0,0.5,-0.866,0.0,1.0,193.34,56.6,249.94,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
delhi_2024_0011_20240101T110000Z,2024-01-01 11:00:00+00:00,Delhi,28.6139,77.209,2.27,319.0,1.49,-1.71,15.6,66.0,991.1,350.0,409.5,3.0,B,11,0,1,0,0.2588,-0.9659,0.0,1.0,166.9,57.4,224.3,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
delhi_2024_0012_20240101T120000Z,2024-01-01 12:00:00+00:00,Delhi,28.6139,77.209,1.56,310.0,1.2,-1.0,13.1,80.0,991.1,350.0,180.6,1.0,B,12,0,1,0,0.0,-1.0,0.0,1.0,260.53,91.5,352.03,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
delhi_2024_0013_20240101T130000Z,2024-01-01 13:00:00+00:00,Delhi,28.6139,77.209,1.7,310.0,1.3,-1.09,10.5,90.0,992.5,180.0,0.0,10.0,F,13,0,1,0,-0.2588,-0.9659,0.0,1.0,249.95,104.3,354.25,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
delhi_2024_0014_20240101T140000Z,2024-01-01 14:00:00+00:00,Delhi,28.6139,77.209,1.64,308.0,1.29,-1.01,9.6,93.0,993.0,180.0,0.0,0.0,F,14,0,1,0,-0.5,-0.866,0.0,1.0,272.6,116.2,388.8,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
delhi_2024_0015_20240101T150000Z,2024-01-01 15:00:00+00:00,Delhi,28.6139,77.209,1.66,303.0,1.39,-0.9,8.9,93.0,993.3,180.0,0.0,0.0,F,15,0,1,0,-0.7071,-0.7071,0.0,1.0,325.46,129.9,455.36,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
delhi_2024_0016_20240101T160000Z,2024-01-01 16:00:00+00:00,Delhi,28.6139,77.209,1.58,305.0,1.29,-0.91,7.9,95.0,993.4,180.0,0.0,0.0,F,16,0,1,0,-0.866,-0.5,0.0,1.0,408.3,142.5,550.8,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
delhi_2024_0017_20240101T170000Z,2024-01-01 17:00:00+00:00,Delhi,28.6139,77.209,1.8,304.0,1.49,-1.01,7.1,96.0,993.4,180.0,0.0,0.0,F,17,0,1,0,-0.9659,-0.2588,0.0,1.0,414.55,153.2,567.75,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
delhi_2024_0018_20240101T180000Z,2024-01-01 18:00:00+00:00,Delhi,28.6139,77.209,1.94,305.0,1.59,-1.11,6.5,97.0,993.0,180.0,0.0,0.0,F,18,0,1,0,-1.0,-0.0,0.0,1.0,352.09,154.1,506.19,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
delhi_2024_0019_20240101T190000Z,2024-01-01 19:00:00+00:00,Delhi,28.6139,77.209,2.28,308.0,1.8,-1.4,5.7,98.0,992.7,180.0,0.0,0.0,F,19,0,1,0,-0.9659,0.2588,0.0,1.0,236.93,141.6,378.53,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
delhi_2024_0020_20240101T200000Z,2024-01-01 20:00:00+00:00,Delhi,28.6139,77.209,2.2,309.0,1.71,-1.38,5.4,99.0,992.1,180.0,0.0,0.0,F,20,0,1,0,-0.866,0.5,0.0,1.0,177.04,127.6,304.64,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
delhi_2024_0021_20240101T210000Z,2024-01-01 21:00:00+00:00,Delhi,28.6139,77.209,2.15,298.0,1.9,-1.01,4.8,100.0,991.9,180.0,0.0,0.0,F,21,0,1,0,-0.7071,0.7071,0.0,1.0,134.71,114.8,249.51,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
delhi_2024_0022_20240101T220000Z,2024-01-01 22:00:00+00:00,Delhi,28.6139,77.209,1.77,286.0,1.7,-0.49,4.6,100.0,991.7,180.0,0.0,0.0,F,22,0,1,0,-0.5,0.866,0.0,1.0,112.72,105.0,217.72,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
delhi_2024_0023_20240101T230000Z,2024-01-01 23:00:00+00:00,Delhi,28.6139,77.209,1.36,287.0,1.3,-0.4,4.7,100.0,991.6,180.0,0.0,100.0,D,23,0,1,0,-0.2588,0.9659,0.0,1.0,101.75,97.6,199.35,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
delhi_2024_0024_20240102T000000Z,2024-01-02 00:00:00+00:00,Delhi,28.6139,77.209,1.21,294.0,1.11,-0.49,4.7,100.0,991.7,180.0,0.0,100.0,D,0,1,1,0,0.0,1.0,0.0,1.0,78.07,90.6,168.67,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
delhi_2024_0025_20240102T010000Z,2024-01-02 01:00:00+00:00,Delhi,28.6139,77.209,1.7,332.0,0.8,-1.5,7.6,93.0,993.0,180.0,0.0,98.0,D,1,1,1,0,0.2588,0.9659,0.0,1.0,21.47,79.4,100.87,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
delhi_2024_0026_20240102T020000Z,2024-01-02 02:00:00+00:00,Delhi,28.6139,77.209,1.48,332.0,0.69,-1.31,7.9,93.0,993.9,180.0,0.0,89.0,D,2,1,1,0,0.5,0.866,0.0,1.0,20.55,81.3,101.85,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
delhi_2024_0027_20240102T030000Z,2024-01-02 03:00:00+00:00,Delhi,28.6139,77.209,1.52,337.0,0.59,-1.4,8.8,90.0,994.6,180.0,71.9,90.0,D,3,1,1,0,0.7071,0.7071,0.0,1.0,18.65,77.8,96.45,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
delhi_2024_0028_20240102T040000Z,2024-01-02 04:00:00+00:00,Delhi,28.6139,77.209,1.12,350.0,0.19,-1.1,10.0,82.0,995.4,180.0,147.5,77.0,B,4,1,1,0,0.866,0.5,0.0,1.0,44.86,77.5,122.36,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
delhi_2024_0029_20240102T050000Z,2024-01-02 05:00:00+00:00,Delhi,28.6139,77.209,0.32,342.0,0.1,-0.3,11.2,73.0,995.4,350.0,241.3,65.0,B,5,1,1,0,0.9659,0.2588,0.0,1.0,191.93,75.7,267.63,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
