sample_id,timestamp,city,latitude,longitude,wind_speed_mps,wind_direction_deg,wind_u_mps,wind_v_mps,temperature_c,relative_humidity_pct,surface_pressure_hpa,boundary_layer_height_m,direct_normal_irradiance_w_m2,cloud_cover_pct,stability_class,hour,day_of_week,month,is_weekend,sin_hour,cos_hour,sin_month,cos_month,local_dispersion_pm25,cams_regional_pm25,target_pm25,regime,confidence_level,known_bias_direction,systematic_bias_note
delhi_2018_0000_20180101T000000Z,2018-01-01 00:00:00+00:00,Delhi,28.6139,77.209,1.61,263.0,1.6,0.2,7.8,90.0,987.8,50.0,0.0,0.0,F,0,0,1,0,0.0,1.0,0.0,1.0,104.08,140.0,244.08,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
delhi_2018_0001_20180101T010000Z,2018-01-01 01:00:00+00:00,Delhi,28.6139,77.209,1.8,267.0,1.8,0.09,7.2,92.0,988.2,50.0,0.0,0.0,F,1,0,1,0,0.2588,0.9659,0.0,1.0,57.64,140.0,197.64,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
delhi_2018_0002_20180101T020000Z,2018-01-01 02:00:00+00:00,Delhi,28.6139,77.209,1.5,270.0,1.5,0.0,6.8,93.0,989.0,50.0,0.0,0.0,F,2,0,1,0,0.5,0.866,0.0,1.0,54.22,140.0,194.22,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
delhi_2018_0003_20180101T030000Z,2018-01-01 03:00:00+00:00,Delhi,28.6139,77.209,1.36,287.0,1.3,-0.4,9.5,81.0,990.1,50.0,266.2,0.0,B,3,0,1,0,0.7071,0.7071,0.0,1.0,59.34,140.0,199.34,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
delhi_2018_0004_20180101T040000Z,2018-01-01 04:00:00+00:00,Delhi,28.6139,77.209,0.73,254.0,0.7,0.2,13.0,69.0,991.1,95.0,496.1,0.0,B,4,0,1,0,0.866,0.5,0.0,1.0,126.55,140.0,266.55,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
delhi_2018_0005_20180101T050000Z,2018-01-01 05:00:00+00:00,Delhi,28.6139,77.209,0.71,225.0,0.5,0.5,16.1,57.0,991.7,230.0,636.1,0.0,A,5,0,1,0,0.9659,0.2588,0.0,1.0,263.95,140.0,403.95,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
delhi_2018_0006_20180101T060000Z,2018-01-01 06:00:00+00:00,Delhi,28.6139,77.209,0.81,240.0,0.7,0.41,18.1,49.0,991.3,650.0,694.0,1.0,A,6,0,1,0,1.0,0.0,0.0,1.0,439.81,140.0,579.81,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
delhi_2018_0007_20180101T070000Z,2018-01-01 07:00:00+00:00,Delhi,28.6139,77.209,1.1,275.0,1.1,-0.1,19.2,44.0,990.3,1285.0,717.5,0.0,A,7,0,1,0,0.9659,-0.2588,0.0,1.0,592.01,140.0,732.01,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
delhi_2018_0008_20180101T080000Z,2018-01-01 08:00:00+00:00,Delhi,28.6139,77.209,1.87,286.0,1.8,-0.52,19.9,40.0,988.9,1545.0,718.2,0.0,A,8,0,1,0,0.866,-0.5,0.0,1.0,394.73,140.0,534.73,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
delhi_2018_0009_20180101T090000Z,2018-01-01 09:00:00+00:00,Delhi,28.6139,77.209,2.56,291.0,2.39,-0.92,20.1,37.0,987.9,1680.0,700.7,0.0,A,9,0,1,0,0.7071,-0.7071,0.0,1.0,230.09,140.0,370.09,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
delhi_2018_0010_20180101T100000Z,2018-01-01 10:00:00+00:00,Delhi,28.6139,77.209,2.82,293.0,2.6,-1.1,19.8,35.0,987.5,1440.0,611.4,0.0,A,10,0,1,0,0.5,-0.866,0.0,1.0,167.91,140.0,307.91,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
delhi_2018_0011_20180101T110000Z,2018-01-01 11:00:00+00:00,Delhi,28.6139,77.209,2.2,300.0,1.91,-1.1,18.9,38.0,987.5,535.0,448.9,0.0,B,11,0,1,0,0.2588,-0.9659,0.0,1.0,204.09,140.0,344.09,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
delhi_2018_0012_20180101T120000Z,2018-01-01 12:00:00+00:00,Delhi,28.6139,77.209,2.25,339.0,0.81,-2.1,14.7,56.0,987.8,65.0,204.0,0.0,C,12,0,1,0,0.0,-1.0,0.0,1.0,114.64,140.0,254.64,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
delhi_2018_0013_20180101T130000Z,2018-01-01 13:00:00+00:00,Delhi,28.6139,77.209,2.47,14.0,-0.6,-2.4,13.0,67.0,988.1,50.0,0.0,7.0,F,13,0,1,0,-0.2588,-0.9659,0.0,1.0,116.55,140.0,256.55,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
delhi_2018_0014_20180101T140000Z,2018-01-01 14:00:00+00:00,Delhi,28.6139,77.209,2.86,36.0,-1.68,-2.31,11.7,75.0,988.5,50.0,0.0,4.0,F,14,0,1,0,-0.5,-0.866,0.0,1.0,133.44,140.0,273.44,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
delhi_2018_0015_20180101T150000Z,2018-01-01 15:00:00+00:00,Delhi,28.6139,77.209,2.41,48.0,-1.79,-1.61,12.4,70.0,988.8,50.0,0.0,3.0,F,15,0,1,0,-0.7071,-0.7071,0.0,1.0,280.45,140.0,420.45,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
delhi_2018_0016_20180101T160000Z,2018-01-01 16:00:00+00:00,Delhi,28.6139,77.209,1.4,94.0,-1.4,0.1,14.2,61.0,989.4,50.0,0.0,3.0,F,16,0,1,0,-0.866,-0.5,0.0,1.0,379.25,140.0,519.25,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
delhi_2018_0017_20180101T170000Z,2018-01-01 17:00:00+00:00,Delhi,28.6139,77.209,0.72,146.0,-0.4,0.6,14.0,61.0,989.4,50.0,0.0,1.0,F,17,0,1,0,-0.9659,-0.2588,0.0,1.0,957.33,140.0,1097.33,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
delhi_2018_0018_20180101T180000Z,2018-01-01 18:00:00+00:00,Delhi,28.6139,77.209,0.36,214.0,0.2,0.3,13.8,61.0,989.3,50.0,0.0,0.0,F,18,0,1,0,-1.0,-0.0,0.0,1.0,1938.55,140.0,2078.55,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
delhi_2018_0019_20180101T190000Z,2018-01-01 19:00:00+00:00,Delhi,28.6139,77.209,0.81,277.0,0.8,-0.1,13.3,63.0,989.2,50.0,0.0,0.0,F,19,0,1,0,-0.9659,0.2588,0.0,1.0,955.66,140.0,1095.66,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
delhi_2018_0020_20180101T200000Z,2018-01-01 20:00:00+00:00,Delhi,28.6139,77.209,1.4,274.0,1.4,-0.1,9.9,79.0,988.5,50.0,0.0,0.0,F,20,0,1,0,-0.866,0.5,0.0,1.0,397.73,140.0,537.73,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
delhi_2018_0021_20180101T210000Z,2018-01-01 21:00:00+00:00,Delhi,28.6139,77.209,1.8,270.0,1.8,0.0,8.2,87.0,988.0,50.0,0.0,0.0,F,21,0,1,0,-0.7071,0.7071,0.0,1.0,225.93,140.0,365.93,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
delhi_2018_0022_20180101T220000Z,2018-01-01 22:00:00+00:00,Delhi,28.6139,77.209,1.4,266.0,1.4,0.1,8.0,88.0,987.8,50.0,0.0,0.0,F,22,0,1,0,-0.5,0.866,0.0,1.0,212.91,140.0,352.91,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
delhi_2018_0023_20180101T230000Z,2018-01-01 23:00:00+00:00,Delhi,28.6139,77.209,1.6,266.0,1.6,0.11,7.8,89.0,987.5,50.0,0.0,0.0,F,23,0,1,0,-0.2588,0.9659,0.0,1.0,130.41,140.0,270.41,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
delhi_2018_0024_20180102T000000Z,2018-01-02 00:00:00+00:00,Delhi,28.6139,77.209,1.6,270.0,1.6,0.0,6.5,92.0,987.9,50.0,0.0,0.0,F,0,1,1,0,0.0,1.0,0.0,1.0,84.72,140.0,224.72,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
delhi_2018_0025_20180102T010000Z,2018-01-02 01:00:00+00:00,Delhi,28.6139,77.209,1.24,256.0,1.2,0.3,7.2,91.0,988.3,50.0,0.0,2.0,F,1,1,1,0,0.2588,0.9659,0.0,1.0,83.02,140.0,223.02,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
delhi_2018_0026_20180102T020000Z,2018-01-02 02:00:00+00:00,Delhi,28.6139,77.209,1.77,254.0,1.7,0.49,7.1,91.0,989.2,50.0,0.0,1.0,F,2,1,1,0,0.5,0.866,0.0,1.0,45.05,140.0,185.05,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
delhi_2018_0027_20180102T030000Z,2018-01-02 03:00:00+00:00,Delhi,28.6139,77.209,2.12,262.0,2.1,0.3,9.9,78.0,990.4,55.0,259.4,2.0,C,3,1,1,0,0.7071,0.7071,0.0,1.0,46.12,140.0,186.12,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
delhi_2018_0028_20180102T040000Z,2018-01-02 04:00:00+00:00,Delhi,28.6139,77.209,1.22,279.0,1.2,-0.19,13.3,67.0,991.4,90.0,487.2,1.0,B,4,1,1,0,0.866,0.5,0.0,1.0,79.23,140.0,219.23,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
delhi_2018_0029_20180102T050000Z,2018-01-02 05:00:00+00:00,Delhi,28.6139,77.209,1.25,299.0,1.09,-0.61,15.9,62.0,991.8,225.0,616.5,0.0,A,5,1,1,0,0.9659,0.2588,0.0,1.0,155.56,140.0,295.56,winter_fog_inversion,medium,negative,Underpredicts secondary aqueous inorganic aerosol formation inside dense fog droplets (RH >= 98%); highly accurate on radiation inversion stagnation.
